Harmonized Name,Harmonized ID (Pubchem ID),Database,Name in Database,Source for Clinical Information,Clinical Phase,MOA,Targets
unnamed_6235,364522,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6236,364524,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6237,364525,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6238,364526,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6239,364527,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6240,364529,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6241,364531,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6242,364532,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6243,364533,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6244,364534,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6245,364535,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6246,364536,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6247,364551,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6248,364552,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6249,364553,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6250,364554,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6251,364555,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6252,364556,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6253,364557,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6254,364558,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6255,364559,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6256,364560,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6257,364561,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6258,364562,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6259,364563,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6260,364564,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6261,364565,NCI60,-,#N/A,,#N/A,#N/A
"5-.beta.-androstano[3,4-c]-1',2',5'-oxadiazol-17-ol",364568,NCI60,"5-.beta.-androstano[3,4-c]-1',2',5'-oxadiazol-17-ol",#N/A,,#N/A,#N/A
"5-.alpha.-androstano[3,4-c]-1',2',5'-oxadiazol-17-ol",364569,NCI60,"5-.alpha.-androstano[3,4-c]-1',2',5'-oxadiazol-17-ol",#N/A,,#N/A,#N/A
"5-.alpha.-androstano[3,4-c]-1',2',5'-oxadiazol-17-one",364570,NCI60,"5-.alpha.-androstano[3,4-c]-1',2',5'-oxadiazol-17-one",#N/A,,#N/A,#N/A
"5-.beta.-androstano[3,4-c]-1',2',5'-oxadiazol-17-one",364571,NCI60,"5-.beta.-androstano[3,4-c]-1',2',5'-oxadiazol-17-one",#N/A,,#N/A,#N/A
"4-androsteno[3,2-c]-isoxazole-4,17-.beta.-diol",364574,NCI60,"4-androsteno[3,2-c]-isoxazole-4,17-.beta.-diol",#N/A,,#N/A,#N/A
"4-hydroxy-17a-aza-d-homo-4-androstene-3,17-dione",364575,NCI60,"4-hydroxy-17a-aza-d-homo-4-androstene-3,17-dione",#N/A,,#N/A,#N/A
unnamed_6262,364576,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6263,364577,NCI60,-,#N/A,,#N/A,#N/A
4-hydroxy-17a-methyl-17a-aza-d-homo-4-androsten-3-one,364580,NCI60,4-hydroxy-17a-methyl-17a-aza-d-homo-4-androsten-3-one,#N/A,,#N/A,#N/A
unnamed_6264,364581,NCI60,-,#N/A,,#N/A,#N/A
"17.beta.-acetoxy-4-androsteno[3,2-c]-isoxazol-4-ol",364582,NCI60,"17.beta.-acetoxy-4-androsteno[3,2-c]-isoxazol-4-ol",#N/A,,#N/A,#N/A
"17-.beta.-hydroxy-5-.alpha.-androstano[2,3-d]pyrazol-4-one",364583,NCI60,"17-.beta.-hydroxy-5-.alpha.-androstano[2,3-d]pyrazol-4-one",#N/A,,#N/A,#N/A
unnamed_6265,364585,NCI60,-,#N/A,,#N/A,#N/A
"1-adamantanamine, n-[(2-bromophenyl)methylene]-",364586,NCI60,"1-adamantanamine, n-[(2-bromophenyl)methylene]-",#N/A,,#N/A,#N/A
unnamed_6266,364587,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6267,364588,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6268,364589,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6269,364590,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6270,364591,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6271,364592,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6272,364593,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6273,364594,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6274,364595,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6275,364596,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6276,364597,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6277,364599,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6278,364601,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6279,364602,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6280,364603,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6281,364604,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6282,364605,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6283,364606,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6284,364607,NCI60,-,#N/A,,#N/A,#N/A
"benzoxazole, 2-[(1-methyl-4-nitro-1h-imidazol-5-yl)thio]-",364608,NCI60,"benzoxazole, 2-[(1-methyl-4-nitro-1h-imidazol-5-yl)thio]-",#N/A,,#N/A,#N/A
unnamed_6285,364609,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6286,364610,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6287,364611,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6288,364613,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6289,364614,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6290,364615,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6291,364616,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6292,364617,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6293,364618,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6294,364619,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6295,364620,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6296,364621,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6298,364623,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6299,364624,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6300,364625,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6301,364626,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6302,364627,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6303,364628,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6304,364652,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6305,364656,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6306,364659,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6307,364661,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6308,364662,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6309,364663,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6310,364664,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6311,364665,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6312,364668,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6313,364669,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6314,364670,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6315,364672,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6316,364673,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6317,364674,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6318,364676,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6319,364680,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6320,364683,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6321,364684,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6322,364685,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6323,364686,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6324,364687,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6325,364688,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6326,364689,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6327,364690,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6328,364691,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6329,364692,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6330,364693,NCI60,-,#N/A,,#N/A,#N/A
dubiusine,364694,NCI60,dubiusine,#N/A,,#N/A,#N/A
unnamed_6331,364695,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6332,364696,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6333,364697,NCI60,-,#N/A,,#N/A,#N/A
"5-[2-(4-methoxyphenyl)ethyl]-1,2,3-dimethoxy benzene",364702,NCI60,"5-[2-(4-methoxyphenyl)ethyl]-1,2,3-dimethoxy benzene",#N/A,,#N/A,#N/A
"5-[2-(4-ethoxyphenyl)ethenyl]-1,2,3-trimethoxy benzene",364703,NCI60,"5-[2-(4-ethoxyphenyl)ethenyl]-1,2,3-trimethoxy benzene",#N/A,,#N/A,#N/A
"n-(4-carbmethoxyphenyl)-3,4,5-trimethoxy benzamide",364704,NCI60,"n-(4-carbmethoxyphenyl)-3,4,5-trimethoxy benzamide",#N/A,,#N/A,#N/A
"4-[2-(3,4,5-trimethoxyphenyl)ethyl]aniline",364705,NCI60,"4-[2-(3,4,5-trimethoxyphenyl)ethyl]aniline",#N/A,,#N/A,#N/A
"5-[2-(4-bromophenyl)ethenyl]-1,2,3-trimethoxy benzene",364706,NCI60,"5-[2-(4-bromophenyl)ethenyl]-1,2,3-trimethoxy benzene",#N/A,,#N/A,#N/A
"5-[2-(4-methoxyphenyl)ethyl]-1,2,3-trimethoxybenzene",364708,NCI60,"5-[2-(4-methoxyphenyl)ethyl]-1,2,3-trimethoxybenzene",#N/A,,#N/A,#N/A
"n-(4-methoxybenzyl)-3,4-dimethoxyaniline-hydrochloride",364709,NCI60,"n-(4-methoxybenzyl)-3,4-dimethoxyaniline-hydrochloride",#N/A,,#N/A,#N/A
"n-(4-methoxybenzyl)-3,5-dimethoxyaniline",364710,NCI60,"n-(4-methoxybenzyl)-3,5-dimethoxyaniline",#N/A,,#N/A,#N/A
unnamed_6334,364711,NCI60,-,#N/A,,#N/A,#N/A
"n-(4-methoxybenzyl)-3,4,5-trimethoxyaniline",364712,NCI60,"n-(4-methoxybenzyl)-3,4,5-trimethoxyaniline",#N/A,,#N/A,#N/A
"n-(3,5-dimethoxybenzyl)-4-methoxyaniline",364713,NCI60,"n-(3,5-dimethoxybenzyl)-4-methoxyaniline",#N/A,,#N/A,#N/A
"3,5-dimethoxy-n-(4-methoxyphenyl)benzamide",364714,NCI60,"3,5-dimethoxy-n-(4-methoxyphenyl)benzamide",#N/A,,#N/A,#N/A
"3,4,5-trimethoxy-n-(4-methoxyphenyl)-benzamide",364715,NCI60,"3,4,5-trimethoxy-n-(4-methoxyphenyl)-benzamide",#N/A,,#N/A,#N/A
"n-(3,4,5-trimethoxybenzyl)-4-methoxyaniline hydrochloride",364716,NCI60,"n-(3,4,5-trimethoxybenzyl)-4-methoxyaniline hydrochloride",#N/A,,#N/A,#N/A
unnamed_6335,364717,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6336,364718,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6337,364719,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6338,364720,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6339,364721,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6340,364722,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6341,364723,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6342,364724,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6343,364725,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6344,364726,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6345,364728,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6346,364729,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6347,364730,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6348,364731,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6349,364732,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6350,364733,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6351,364734,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6352,364738,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6353,364739,NCI60,-,#N/A,,#N/A,#N/A
antineoplastic-631448,364743,NCI60,antineoplastic-631448,#N/A,,#N/A,#N/A
bis(salicylidene-4-sulfonic acid-aniline)cobalt(iii),364747,NCI60,bis(salicylidene-4-sulfonic acid-aniline)cobalt(iii),#N/A,,#N/A,#N/A
bis(salicylidene-2-imino-3-hydroxy-butyric acid)cobalt(ii),364749,NCI60,bis(salicylidene-2-imino-3-hydroxy-butyric acid)cobalt(ii),#N/A,,#N/A,#N/A
bis(salicylidene-2-methyl-1-propanole-2-imine)cobalt(ii),364751,NCI60,bis(salicylidene-2-methyl-1-propanole-2-imine)cobalt(ii),#N/A,,#N/A,#N/A
unnamed_6354,364758,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6355,364759,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6356,364762,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6357,364763,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6358,364764,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6359,364765,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6360,364766,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6361,364767,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6362,364768,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6363,364769,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6364,364770,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6365,364771,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6366,364772,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6367,364773,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6368,364774,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6369,364775,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6370,364776,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6371,364777,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6372,364778,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6373,364779,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6374,364780,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6375,364781,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6376,364782,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6377,364783,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6378,364784,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6379,364785,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6380,364786,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6381,364787,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6382,364789,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6383,364791,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6384,364792,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6385,364793,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6386,364794,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6387,364795,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6388,364796,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6389,364797,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6390,364798,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6391,364799,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6392,364800,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6393,364801,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6394,364802,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6395,364803,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6396,364804,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6397,364805,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6398,364807,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6399,364808,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6400,364812,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6401,364813,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6402,364814,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6403,364818,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6404,364819,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6405,364820,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6406,364821,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6407,364822,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6408,364824,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6409,364856,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6410,364857,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6411,364858,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6412,364860,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6413,364868,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6414,364870,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6415,364885,NCI60,-,#N/A,,#N/A,#N/A
2-methyl-.gamma.-carbolinium acetate,364892,NCI60,2-methyl-.gamma.-carbolinium acetate,#N/A,,#N/A,#N/A
unnamed_6416,364894,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6417,364895,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6418,364903,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6419,364904,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6420,364905,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6421,364906,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6422,364907,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6423,364910,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6424,364911,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6425,364912,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6426,364914,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6427,364915,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6428,364916,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6429,364917,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6430,364918,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6431,364920,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6432,364921,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6433,364923,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6434,364925,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6435,364926,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6436,364927,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6437,364928,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6438,364929,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6439,364930,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6440,364931,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6441,364932,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6442,364933,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6443,364935,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6444,364936,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6445,364937,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6446,364939,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6447,364940,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6448,364941,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6449,364942,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6450,364943,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6451,364944,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6452,364945,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6453,364946,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6454,364947,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6455,364948,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6456,364949,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6457,364950,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6458,364951,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6459,364952,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6460,364953,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6461,364954,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6462,364955,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6463,364956,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6464,364957,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6465,364958,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6466,364959,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6467,364960,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6468,364961,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6469,364962,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6470,364963,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6471,364964,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6472,364966,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6473,364967,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6474,364968,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6475,364969,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6476,364971,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6477,364973,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6478,364975,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6479,364979,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6480,364980,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6481,364981,NCI60,-,#N/A,,#N/A,#N/A
ortho betaine,364982,NCI60,ortho betaine,#N/A,,#N/A,#N/A
unnamed_6482,364985,NCI60,-,#N/A,,#N/A,#N/A
potassiumdimalonatopalladate(vi),364986,NCI60,potassiumdimalonatopalladate(vi),#N/A,,#N/A,#N/A
bis(4-ethoxyphenyl)diselenide,364987,NCI60,bis(4-ethoxyphenyl)diselenide,#N/A,,#N/A,#N/A
bis(4-carboxyphenyl)diselenide,364988,NCI60,bis(4-carboxyphenyl)diselenide,#N/A,,#N/A,#N/A
"chlorooxobis(2,4-pentanedione)vanadium(v)",364991,NCI60,"chlorooxobis(2,4-pentanedione)vanadium(v)",#N/A,,#N/A,#N/A
unnamed_6483,364992,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6484,364993,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6485,364994,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6486,364995,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6487,364996,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6488,364997,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6489,364998,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6490,364999,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6491,365000,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6492,365001,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6493,365002,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6494,365004,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6495,365006,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6496,365013,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6497,365014,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6498,365015,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6499,365016,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6500,365017,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6501,365018,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6502,365020,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6503,365021,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6504,365024,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6505,365025,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6506,365026,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6507,365027,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6508,365028,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6509,365029,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6510,365032,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6511,365033,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6512,365034,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6513,365035,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6514,365037,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6515,365038,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6516,365039,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6517,365040,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6518,365042,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6519,365043,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6520,365044,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6521,365045,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6522,365046,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6523,365047,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6524,365053,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6525,365063,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6526,365078,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6527,365079,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6528,365081,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6529,365082,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6530,365086,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6531,365103,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6532,365105,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6533,365106,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6534,365119,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6535,365121,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6536,365122,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6537,365126,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6538,365127,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6539,365129,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6540,365130,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6541,365131,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6542,365132,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6543,365133,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6544,365135,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6545,365138,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6546,365140,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6547,365141,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6548,365142,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6549,365143,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6550,365144,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6551,365145,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6552,365146,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6553,365147,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6554,365157,NCI60,-,#N/A,,#N/A,#N/A
unnamed_6555,365164,NCI60,-,#N/A,,#N/A,#N/A
